	border_spot_counts
mm10-Vtn_mm10-Itga5	11
mm10-Tnc_mm10-Itga7	11
mm10-Bsg_mm10-Slc16a1	11
mm10-Mfge8_mm10-Itgav	11
mm10-Fn1_mm10-Sdc2	11
mm10-Tgfb1_mm10-Tgfbr2	11
mm10-Cd9_mm10-L1cam	11
mm10-Ptn_mm10-Ptprb	11
mm10-Ccl5_mm10-Sdc4	11
mm10-Lgals9_mm10-Havcr2	11
mm10-Adam15_mm10-Itgb1	11
mm10-L1cam_mm10-Cd9	11
mm10-Ybx1_mm10-Notch1	11
mm10-Pdgfb_mm10-Lrp1	11
mm10-Col5a1_mm10-Sdc3	11
mm10-Icam1_mm10-Itgax	10
mm10-Lrpap1_mm10-Lrp1	10
mm10-Gnai2_mm10-Adcy1	10
mm10-Afdn_mm10-Nectin2	10
mm10-Ccl4_mm10-Ccr5	10
mm10-Wnt5a_mm10-Ryk	10
mm10-Col5a2_mm10-Ddr1	10
mm10-Itgb2_mm10-Thy1	10
mm10-Tnc_mm10-Ptprz1	10
mm10-Adam15_mm10-Itgav	10
mm10-Gnai2_mm10-Igf1r	10
mm10-Thbs1_mm10-Lrp1	10
mm10-Calr_mm10-Itga3	10
mm10-Gnai2_mm10-Ednra	10
mm10-Fn1_mm10-Itga5	10
mm10-Col18a1_mm10-Gpc1	10
mm10-Dcn_mm10-Egfr	10
mm10-Mdk_mm10-Itga6	10
mm10-Cthrc1_mm10-Fzd6	10
mm10-Vcam1_mm10-Itga9	10
